id,video_id,start,end,class_id,verb,noun,annotation
0,7frRY7aGwMU,50,60,0,shake,tomato,0
1,TLMroVuZ_Nc,20,30,1,close,blender,0
2,ppNqpTCZgf4,40,50,2,weigh,banana,0
3,dNZDAKVee-g,90,100,3,move,microwave,0
4,5IbTTidaRn4,40,50,4,weigh,egg,0
5,bdPsmVhUlZ0,150,160,5,unplug,oven,0
6,QaMW4kKYbNM,60,70,6,throw,shirt,1
7,I0d5TEbK7LE,30,40,7,spray,microwave,0
8,2LmvYe3O_Pw,30,40,8,measure,carrots,0
9,StQgAzKmkIk,130,140,9,open,microwave,0
10,rQVGiAlXMwg,40,50,10,cut,rock,0
11,o3TSaTrmMzY,50,60,11,peel,corn,1
12,ugm2bChsFys,70,80,12,roll,potato,0
13,OcwlaJrwoQ0,0,10,13,measure,pizza,0
14,8zE_UnIS_4E,60,70,14,deseed,pepper,1
15,iqexWU7VyhM,30,40,15,wash,coconut,0
16,RcZ7Sx-H1co,60,70,12,roll,potato,0
17,ZziozzTPNBs,180,190,16,weigh,tomato,0
18,yywai14eUPQ,0,10,6,throw,shirt,0
19,SsCX5UVu2yg,50,60,17,cut,chair,0
20,DT2kfiISJTg,20,30,18,shake,tree,0
21,ovjtEVbtPCo,110,120,19,shake,table,1
22,a1NFSpKURsg,40,50,20,throw,flower,1
23,tlTpU5B56js,60,70,21,roll,carrot,0
24,pIQBOISKJGE,90,100,22,unplug,phone,0
25,jLpj_a8HBzM,0,10,23,move,tree,0
26,jUdV9J1PL94,170,180,24,weigh,pumpkin,0
27,sZkB73MtxyQ,50,60,25,wash,fridge,0
28,CqWOyiGyxPo,20,30,26,cut,coconut,1
29,RDjk8LZOZ5w,80,90,17,cut,chair,0
30,rnl4pq2erWw,10,20,7,spray,microwave,0
31,I0d5TEbK7LE,120,130,7,spray,microwave,0
32,HoCBudoWS8w,20,30,5,unplug,oven,0
33,pkEJHwAma4A,50,60,27,shake,potato,0
34,5Dlqvb4UkaU,40,50,28,drink,egg,0
35,HoCBudoWS8w,90,100,5,unplug,oven,0
36,9m8AdQmnCbY,60,70,12,roll,potato,0
37,_kf5h4whCcM,40,50,29,peel,coconut,0
38,B8pglPaQ978,80,90,16,weigh,tomato,0
39,I5lDKOLbcEA,110,120,1,close,blender,0
40,k-BfPJvoYlg,40,50,30,roll,banana,0
41,07ROfkLF_eE,150,160,22,unplug,phone,0
42,HmDiZnNFrcE,110,120,31,cut,pumpkin,1
43,z_G67pOSfew,70,80,13,measure,pizza,0
44,JCO_9bwo6VA,0,10,31,cut,pumpkin,1
45,Ip8fBV20i7o,20,30,22,unplug,phone,0
46,xWxYu9sy_aQ,130,140,32,throw,apple,0
47,_5YesRqExrw,30,40,33,hammer,phone,1
48,aZhGU1-J8_E,70,80,29,peel,coconut,0
49,OWkgxFBGIQM,100,110,28,drink,egg,0
50,e5TPe9cjHNQ,0,10,34,wash,door,0
51,BczNmawH5mU,20,30,15,wash,coconut,0
52,7uWUnTTd1EI,160,170,35,drop,fridge,0
53,YhU77e8Zjt8,10,20,36,shake,hair,0
54,IX5T-ZmeEu4,30,40,27,shake,potato,0
55,NRtg41fHzHY,80,90,30,roll,banana,1
56,eVqyh3rfRB8,40,50,15,wash,coconut,0
57,aZhGU1-J8_E,170,180,29,peel,coconut,1
58,6BUPiNgLjvI,10,20,37,spray,chair,0
59,QT9OjViyb-A,50,60,19,shake,table,0
60,Jp-o1RoagLY,30,40,38,close,fridge,0
61,_1qBiUrN2aE,180,190,38,close,fridge,0
62,Sjnd9mPSZnQ,20,30,39,throw,phone,0
63,StQgAzKmkIk,70,80,9,open,microwave,0
64,PWXhcUyxnLw,20,30,40,wash,blender,0
65,SsCX5UVu2yg,80,90,17,cut,chair,0
66,e5TPe9cjHNQ,160,170,34,wash,door,1
67,07ROfkLF_eE,40,50,22,unplug,phone,0
68,UY06zCeJJfI,70,80,41,wash,cucumber,0
69,THrn-rfRyLc,100,110,41,wash,cucumber,0
70,RYHFeTsEn6U,150,160,8,measure,carrots,0
71,iqexWU7VyhM,90,100,15,wash,coconut,0
72,Jfd4tibHAaM,10,20,33,hammer,phone,1
73,vVlVl6duuzs,20,30,12,roll,potato,0
74,nTIg0Cctuz8,10,20,42,wash,rock,0
75,CRpYWbUCWyU,10,20,1,close,blender,0
76,VgtUFXs2INY,10,20,27,shake,potato,0
77,5-HRup3txno,0,10,14,deseed,pepper,0
78,deomA0CGAZw,10,20,43,move,fridge,0
79,0w9U2ICnRnY,120,130,30,roll,banana,0
80,b5Z6FXcPGFc,150,160,10,cut,rock,1
81,f3NPcdHyiBU,80,90,29,peel,coconut,1
82,QELdZy8pBUg,20,30,44,shake,door,0
83,Y85-CAraKaA,60,70,45,spray,door,1
84,5hhk_fUC8h0,0,10,46,shake,lemon,0
85,07ROfkLF_eE,90,100,22,unplug,phone,0
86,7mldxcvjUzY,20,30,47,deseed,tomato,0
